,ZIP,Avg_Percentage_2018_2021,Avg_Change_2018_2021,Total_Change_2018_2021
2239,95527,85.07499999999999,-1.3999999999999961,-4.199999999999989
2240,95528,78.75,-1.2666666666666657,-3.799999999999997
2241,95531,73.225,-2.3333333333333335,-7.0
2242,95532,73.225,-2.3333333333333335,-7.0
2243,95534,78.75,-1.2666666666666657,-3.799999999999997
2244,95536,78.75,-1.2666666666666657,-3.799999999999997
2245,95537,78.75,-1.2666666666666657,-3.799999999999997
2246,95538,73.225,-2.3333333333333335,-7.0
2247,95540,78.75,-1.2666666666666657,-3.799999999999997
2248,95542,78.75,-1.2666666666666657,-3.799999999999997
2249,95543,73.225,-2.3333333333333335,-7.0
2250,95545,78.75,-1.2666666666666657,-3.799999999999997
2251,95546,78.75,-1.2666666666666657,-3.799999999999997
2252,95547,78.75,-1.2666666666666657,-3.799999999999997
2253,95548,73.225,-2.3333333333333335,-7.0
2254,95549,78.75,-1.2666666666666657,-3.799999999999997
2255,95550,78.75,-1.2666666666666657,-3.799999999999997
2256,95551,78.75,-1.2666666666666657,-3.799999999999997
2257,95552,85.07499999999999,-1.3999999999999961,-4.199999999999989
2258,95553,78.75,-1.2666666666666657,-3.799999999999997
2259,95554,78.75,-1.2666666666666657,-3.799999999999997
2260,95555,78.75,-1.2666666666666657,-3.799999999999997
2261,95556,78.75,-1.2666666666666657,-3.799999999999997
2262,95558,78.75,-1.2666666666666657,-3.799999999999997
2263,95559,78.75,-1.2666666666666657,-3.799999999999997
2264,95560,78.75,-1.2666666666666657,-3.799999999999997
2265,95562,78.75,-1.2666666666666657,-3.799999999999997
2266,95563,85.07499999999999,-1.3999999999999961,-4.199999999999989
2267,95564,78.75,-1.2666666666666657,-3.799999999999997
2268,95565,78.75,-1.2666666666666657,-3.799999999999997
2269,95567,73.225,-2.3333333333333335,-7.0
2270,95568,83.675,-1.033333333333336,-3.1000000000000085
2271,95569,78.75,-1.2666666666666657,-3.799999999999997
2272,95570,78.75,-1.2666666666666657,-3.799999999999997
2273,95571,78.75,-1.2666666666666657,-3.799999999999997
2274,95573,78.75,-1.2666666666666657,-3.799999999999997
2275,95585,81.125,-2.099999999999999,-6.299999999999997
2276,95587,81.125,-2.099999999999999,-6.299999999999997
2277,95589,78.75,-1.2666666666666657,-3.799999999999997
2278,95595,85.07499999999999,-1.3999999999999961,-4.199999999999989
2279,95601,85.10000000000001,-1.8000000000000018,-5.400000000000006
2280,95602,80.725,-1.5666666666666675,-4.700000000000003
2281,95603,80.725,-1.5666666666666675,-4.700000000000003
2282,95604,80.725,-1.5666666666666675,-4.700000000000003
